District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Praça Provincia De Saitama,-23.542958211566262,-46.71211907267259,Dog Run
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Circuito das Árvores,-23.547557840298403,-46.71814588503553,Trail
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Super Saudável,-23.543412364530692,-46.711238622665405,Health Food Store
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,St. Marché,-23.542780825270793,-46.71142268346157,Supermarket
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Run & Fun,-23.546322111998343,-46.71825444037855,Bike Shop
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Praça Conde de Barcelos,-23.55214621413145,-46.71369552612305,Dog Run
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Cór Gastronomia,-23.542370507398033,-46.71146074873201,Restaurant
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Livraria Cultura,-23.55055738661088,-46.72117453359452,Bookstore
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Restaurante Espaço Nectar,-23.553878821347688,-46.71743612324805,Restaurant
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Ofner,-23.55070884008691,-46.72159322804622,Pastry Shop
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Praça Pôr do Sol,-23.553540629246505,-46.70287496495972,Plaza
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Ráscal,-23.55155815542744,-46.72188278389148,Mediterranean Restaurant
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Equinox Beer House,-23.540850866248483,-46.71573346854075,Beer Bar
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Lindt,-23.551514729068415,-46.72187792359131,Chocolate Shop
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Almanara,-23.550717347740203,-46.7216800744028,Middle Eastern Restaurant
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,CicloVilla,-23.548019942912376,-46.71856594832089,Bike Rental / Bike Share
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Bacio di Latte,-23.551352640604584,-46.72176141800988,Ice Cream Shop
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,Droga Raia,-23.554749835629302,-46.70908177557127,Pharmacy
ALTO DE PINHEIROS,-23.54757677700322,-46.71188474714976,MAC Cosmetics,-23.551426805213897,-46.72188862890682,Cosmetics Shop
